Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Shipping Address,Billing Address,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details,Item Serial Number,Salesperson ID
Target,ORD691196,2024-11-27,PO48861,AUD,70.98,10.53,47.54,8.51,438.0,425.88,63.18,B0924866,New,6,PayPal,Shipped,Returned,2025-02-25,Expedited,"659 Main St, City 41, USA","422 Elm St, City 99, USA",USPS - TRK627500,Product-64,Enjoy your gift!,Bob,Emma Smith,SN522371,SP-3474
eBay,ORD795228,2024-11-17,PO29598,USD,480.85,26.35,23.53,96.5,2464.2,2885.1,158.1,B0443592,Refurbished,6,Debit Card,Cancelled,In Transit,2025-02-26,Standard,"551 Main St, City 65, USA","211 Elm St, City 73, USA",Amazon Logistics - TRK535471,Product-326,,Alice,John Doe,SN659854,SP-1256
Walmart,ORD765352,2025-02-10,PO95820,USD,322.23,35.97,23.5,54.65,2124.85,2255.61,251.79,B0777661,Used - Like New,7,Debit Card,Shipped,Returned,2025-03-15,Same-Day,"332 Main St, City 58, USA","121 Elm St, City 22, USA",FedEx - TRK854384,Product-325,Happy Birthday!,Alice,John Doe,SN536584,SP-1334
Target,ORD616909,2025-02-14,PO97324,GBP,167.61,25.28,39.87,20.27,517.86,502.83,75.84,B0891089,Refurbished,3,Debit Card,Pending,Delivered,2025-02-20,Two-Day,"153 Main St, City 16, USA","518 Elm St, City 17, USA",USPS - TRK694810,Product-190,Happy Birthday!,Bob,John Doe,SN545279,SP-9255
eBay,ORD538941,2024-08-29,PO51998,AUD,420.39,40.38,15.22,51.87,4089.0,4203.9,403.8,B0661202,New,10,Credit Card,Delivered,In Transit,2025-02-26,Expedited,"535 Main St, City 79, USA","612 Elm St, City 9, USA",USPS - TRK355752,Product-86,Enjoy your gift!,Alice,John Doe,SN731936,SP-2952
eBay,ORD463925,2024-10-21,PO78175,INR,11.21,1.82,21.8,3.15,79.04,89.68,14.56,B0133134,New,8,Debit Card,Delivered,Delivered,2025-03-15,Expedited,"889 Main St, City 67, USA","543 Elm St, City 68, USA",USPS - TRK359099,Product-355,,Alice,Emma Smith,SN626828,SP-1545
Target,ORD474308,2025-01-18,PO32217,EUR,435.22,71.41,8.18,127.31,2655.24,3046.54,499.87,B0245858,Used - Like New,7,Credit Card,Shipped,In Transit,2025-03-01,Standard,"256 Main St, City 53, USA","962 Elm St, City 3, USA",USPS - TRK637741,Product-11,Enjoy your gift!,Alice,,SN883030,SP-8469
Walmart,ORD596123,2025-02-22,PO28790,INR,185.78,32.9,12.72,16.91,1614.16,1486.24,263.2,B0534728,Used - Acceptable,8,PayPal,Cancelled,Pending,2025-03-18,Same-Day,"395 Main St, City 50, USA","984 Elm St, City 84, USA",UPS - TRK933663,Product-425,Enjoy your gift!,Bob,,SN977610,SP-7379
Walmart,ORD904093,2024-05-16,PO38028,INR,60.62,4.03,12.83,10.02,491.67,545.58,36.27,B0187688,Refurbished,9,Credit Card,Shipped,In Transit,2025-03-02,Two-Day,"389 Main St, City 7, USA","773 Elm St, City 20, USA",USPS - TRK847108,Product-334,Happy Birthday!,Alice,Emma Smith,SN672157,SP-5617
Target,ORD613519,2024-04-12,PO15469,AUD,77.99,7.06,46.54,15.45,487.2,545.93,49.42,B0641320,Refurbished,7,PayPal,Shipped,Pending,2025-03-17,Standard,"490 Main St, City 18, USA","655 Elm St, City 66, USA",FedEx - TRK566842,Product-131,Enjoy your gift!,Charlie,,SN961970,SP-7395
Amazon.com,ORD433649,2024-07-04,PO54383,AUD,421.59,73.43,13.38,2.03,1478.97,1264.77,220.29,B0956285,Used - Like New,3,Credit Card,Delivered,In Transit,2025-02-21,Standard,"108 Main St, City 10, USA","729 Elm St, City 39, USA",FedEx - TRK573560,Product-335,Happy Birthday!,,,SN586120,SP-3925
Target,ORD463104,2024-05-13,PO27371,GBP,138.7,10.78,28.79,14.93,1345.5,1387.0,107.8,B0960164,New,10,Gift Card,Cancelled,Returned,2025-02-22,Same-Day,"345 Main St, City 59, USA","420 Elm St, City 61, USA",USPS - TRK808999,Product-300,,Alice,Emma Smith,SN483388,SP-6853
Amazon.com,ORD937492,2024-08-27,PO92054,USD,311.01,51.89,11.9,79.96,282.94,311.01,51.89,B0340187,New,1,Debit Card,Delivered,Delivered,2025-03-04,Expedited,"775 Main St, City 78, USA","589 Elm St, City 22, USA",FedEx - TRK397691,Product-451,,Bob,Emma Smith,SN994672,SP-6804
Amazon.com,ORD807528,2024-09-23,PO87215,INR,395.61,53.57,41.69,78.93,2591.75,2769.27,374.99,B0279709,New,7,PayPal,Cancelled,Delivered,2025-03-07,Same-Day,"147 Main St, City 1, USA","716 Elm St, City 32, USA",UPS - TRK122488,Product-322,Enjoy your gift!,Bob,Emma Smith,SN768742,SP-3925
eBay,ORD759613,2025-03-02,PO15136,USD,232.97,31.44,44.01,20.13,244.28,232.97,31.44,B0554214,New,1,Debit Card,Cancelled,Delivered,2025-03-16,Standard,"367 Main St, City 20, USA","439 Elm St, City 68, USA",Amazon Logistics - TRK419992,Product-468,Enjoy your gift!,Charlie,,SN206344,SP-3648
eBay,ORD915866,2024-05-13,PO66764,INR,183.85,14.43,16.78,30.78,1005.0,1103.1,86.58,B0228068,Refurbished,6,Credit Card,Pending,Delivered,2025-03-20,Expedited,"562 Main St, City 87, USA","520 Elm St, City 13, USA",FedEx - TRK168947,Product-20,Happy Birthday!,Charlie,,SN797765,SP-7574
Amazon.com,ORD518427,2025-02-02,PO40024,INR,105.94,11.24,35.75,27.01,90.17,105.94,11.24,B0645026,Used - Like New,1,Gift Card,Shipped,Delivered,2025-03-02,Standard,"571 Main St, City 11, USA","979 Elm St, City 45, USA",FedEx - TRK477877,Product-163,Happy Birthday!,Charlie,,SN100229,SP-4094
Target,ORD778965,2024-07-03,PO80109,INR,341.24,44.83,13.87,101.15,1709.52,2047.44,268.98,B0123123,Refurbished,6,Credit Card,Cancelled,In Transit,2025-02-22,Two-Day,"883 Main St, City 55, USA","160 Elm St, City 78, USA",FedEx - TRK814077,Product-354,Happy Birthday!,Alice,John Doe,SN153999,SP-9875
Amazon.com,ORD213392,2024-08-27,PO97411,GBP,365.73,34.8,41.86,4.09,1982.2,1828.65,174.0,B0833946,Refurbished,5,PayPal,Pending,Delivered,2025-03-13,Expedited,"333 Main St, City 94, USA","421 Elm St, City 24, USA",UPS - TRK976976,Product-440,,Charlie,,SN125705,SP-3732
eBay,ORD402187,2025-03-10,PO35709,USD,438.04,84.27,49.44,102.49,1259.46,1314.12,252.81,B0447394,Used - Acceptable,3,Credit Card,Delivered,Delivered,2025-03-04,Standard,"847 Main St, City 50, USA","336 Elm St, City 8, USA",FedEx - TRK952056,Product-338,,Bob,Emma Smith,SN657804,SP-8269
Target,ORD741308,2025-02-13,PO56898,USD,311.64,61.38,17.2,48.17,2273.95,2181.48,429.66,B0130356,Used - Like New,7,PayPal,Shipped,In Transit,2025-02-28,Same-Day,"281 Main St, City 95, USA","627 Elm St, City 51, USA",USPS - TRK470425,Product-250,Happy Birthday!,Charlie,,SN591422,SP-6708
Target,ORD646736,2024-08-24,PO25684,GBP,33.23,2.83,12.71,5.83,30.23,33.23,2.83,B0241058,New,1,Credit Card,Shipped,In Transit,2025-03-13,Expedited,"275 Main St, City 24, USA","743 Elm St, City 90, USA",Amazon Logistics - TRK571207,Product-114,Enjoy your gift!,Bob,,SN461537,SP-8697
Best Buy,ORD328752,2025-03-15,PO57987,EUR,226.39,37.3,11.04,28.59,1880.8,1811.12,298.4,B0627865,Refurbished,8,Gift Card,Delivered,Pending,2025-03-22,Two-Day,"390 Main St, City 11, USA","583 Elm St, City 99, USA",UPS - TRK152847,Product-463,,Alice,Emma Smith,SN130147,SP-6869
Amazon.com,ORD268107,2024-05-23,PO89175,AUD,39.2,6.39,5.64,0.23,408.24,352.8,57.51,B0379156,Used - Acceptable,9,PayPal,Shipped,Delivered,2025-03-13,Standard,"366 Main St, City 98, USA","170 Elm St, City 15, USA",DHL - TRK919760,Product-36,Enjoy your gift!,,Emma Smith,SN952308,SP-4797
Best Buy,ORD501639,2024-05-14,PO60959,EUR,115.07,22.15,41.26,30.01,428.84,460.28,88.6,B0533986,New,4,Debit Card,Pending,Delivered,2025-02-23,Two-Day,"697 Main St, City 75, USA","643 Elm St, City 89, USA",UPS - TRK638506,Product-187,Happy Birthday!,Charlie,,SN111203,SP-9471
Walmart,ORD409091,2024-05-31,PO74748,USD,225.76,13.55,31.78,62.67,529.92,677.28,40.65,B0350379,Refurbished,3,PayPal,Cancelled,Returned,2025-02-22,Two-Day,"795 Main St, City 98, USA","679 Elm St, City 31, USA",USPS - TRK187059,Product-245,Enjoy your gift!,Charlie,,SN263843,SP-8308
Best Buy,ORD301179,2024-09-09,PO61118,INR,112.12,12.85,45.39,17.58,966.51,1009.08,115.65,B0571512,Refurbished,9,Gift Card,Cancelled,Returned,2025-03-20,Same-Day,"952 Main St, City 72, USA","365 Elm St, City 59, USA",DHL - TRK774117,Product-368,Happy Birthday!,Bob,John Doe,SN116280,SP-3140
Best Buy,ORD140228,2024-09-18,PO27647,INR,477.9,38.28,12.2,80.96,2176.1,2389.5,191.4,B0586891,Refurbished,5,Gift Card,Pending,Returned,2025-03-02,Same-Day,"766 Main St, City 10, USA","151 Elm St, City 58, USA",DHL - TRK162517,Product-30,,Bob,Emma Smith,SN491043,SP-1111
eBay,ORD768847,2024-03-25,PO50090,INR,499.06,41.79,33.29,90.09,1352.28,1497.18,125.37,B0559971,New,3,PayPal,Delivered,Returned,2025-03-11,Standard,"155 Main St, City 72, USA","415 Elm St, City 75, USA",USPS - TRK262635,Product-350,,,John Doe,SN620884,SP-5828
Walmart,ORD931573,2024-09-16,PO12850,USD,386.66,45.46,7.37,94.87,1011.75,1159.98,136.38,B0117350,Refurbished,3,PayPal,Delivered,In Transit,2025-02-25,Standard,"216 Main St, City 94, USA","392 Elm St, City 56, USA",FedEx - TRK309273,Product-59,Enjoy your gift!,,John Doe,SN656337,SP-8454
Amazon.com,ORD844856,2024-09-17,PO74457,EUR,441.29,80.42,14.3,114.43,2443.68,2647.74,482.52,B0789117,New,6,Gift Card,Cancelled,Delivered,2025-02-21,Expedited,"668 Main St, City 69, USA","224 Elm St, City 39, USA",UPS - TRK306955,Product-104,Enjoy your gift!,Bob,Emma Smith,SN466820,SP-4716
Target,ORD532660,2024-07-03,PO38854,EUR,23.34,2.88,27.54,2.18,192.32,186.72,23.04,B0295126,Refurbished,8,PayPal,Shipped,In Transit,2025-03-20,Two-Day,"305 Main St, City 88, USA","993 Elm St, City 46, USA",DHL - TRK268520,Product-192,,Bob,Emma Smith,SN336163,SP-9134
Amazon.com,ORD224409,2024-12-07,PO99892,USD,424.22,63.29,48.11,48.16,3514.8,3393.76,506.32,B0727316,New,8,PayPal,Shipped,In Transit,2025-03-18,Standard,"584 Main St, City 74, USA","185 Elm St, City 12, USA",USPS - TRK725764,Product-421,,Bob,,SN637084,SP-8185
Best Buy,ORD603845,2024-04-13,PO97480,USD,100.55,9.06,20.95,24.6,255.03,301.65,27.18,B0727198,Used - Acceptable,3,PayPal,Cancelled,Pending,2025-03-13,Two-Day,"900 Main St, City 24, USA","956 Elm St, City 74, USA",FedEx - TRK490172,Product-445,Enjoy your gift!,Charlie,John Doe,SN352813,SP-1201
eBay,ORD912626,2024-09-28,PO31592,GBP,411.54,28.05,18.14,58.37,3812.2,4115.4,280.5,B0520490,Used - Like New,10,PayPal,Pending,Pending,2025-02-21,Two-Day,"665 Main St, City 88, USA","613 Elm St, City 72, USA",UPS - TRK243570,Product-65,Enjoy your gift!,Alice,,SN512406,SP-6957
Target,ORD749605,2024-05-23,PO74166,AUD,162.42,9.78,42.24,28.07,864.78,974.52,58.68,B0493624,Used - Acceptable,6,Debit Card,Pending,Pending,2025-03-14,Same-Day,"635 Main St, City 31, USA","803 Elm St, City 26, USA",UPS - TRK690904,Product-276,Happy Birthday!,Charlie,,SN256267,SP-7803
eBay,ORD220236,2024-07-03,PO14036,USD,48.92,3.19,22.43,7.33,223.9,244.6,15.95,B0940739,Used - Like New,5,PayPal,Cancelled,Returned,2025-02-23,Two-Day,"609 Main St, City 18, USA","932 Elm St, City 76, USA",Amazon Logistics - TRK118775,Product-197,Enjoy your gift!,Charlie,,SN180386,SP-6025
Walmart,ORD769580,2025-01-27,PO97272,USD,368.72,63.08,36.55,46.82,1539.92,1474.88,252.32,B0561914,New,4,Debit Card,Pending,Delivered,2025-02-28,Same-Day,"407 Main St, City 11, USA","241 Elm St, City 2, USA",DHL - TRK422161,Product-263,,Charlie,,SN962961,SP-1617
eBay,ORD404352,2024-11-20,PO57164,EUR,128.87,24.94,27.09,16.2,412.83,386.61,74.82,B0737771,New,3,Gift Card,Shipped,In Transit,2025-03-22,Two-Day,"423 Main St, City 25, USA","808 Elm St, City 38, USA",FedEx - TRK441574,Product-52,,Charlie,John Doe,SN347711,SP-8188
Walmart,ORD930529,2024-07-20,PO81228,USD,472.45,37.97,43.05,62.53,3135.23,3307.15,265.79,B0201266,Used - Acceptable,7,Gift Card,Cancelled,In Transit,2025-03-05,Same-Day,"929 Main St, City 67, USA","402 Elm St, City 76, USA",FedEx - TRK491509,Product-421,Enjoy your gift!,Bob,,SN544675,SP-6442
Amazon.com,ORD875848,2025-03-10,PO78094,USD,494.76,59.72,25.0,119.13,4353.5,4947.6,597.2,B0584529,Used - Like New,10,Debit Card,Shipped,Returned,2025-03-11,Expedited,"997 Main St, City 95, USA","551 Elm St, City 28, USA",DHL - TRK549017,Product-125,Enjoy your gift!,Bob,John Doe,SN502717,SP-3364
Walmart,ORD258337,2024-11-16,PO65649,INR,111.26,6.88,12.46,31.48,779.94,1001.34,61.92,B0670119,New,9,Credit Card,Delivered,Returned,2025-03-14,Two-Day,"411 Main St, City 92, USA","757 Elm St, City 53, USA",Amazon Logistics - TRK417940,Product-275,,Bob,John Doe,SN577716,SP-5470
eBay,ORD255695,2024-07-24,PO46794,USD,457.91,79.3,20.84,112.17,2975.28,3205.37,555.1,B0860787,Refurbished,7,Gift Card,Shipped,Delivered,2025-03-05,Standard,"132 Main St, City 68, USA","265 Elm St, City 28, USA",DHL - TRK815788,Product-203,,,John Doe,SN561312,SP-6509
Target,ORD846270,2024-10-22,PO19054,USD,131.41,12.7,24.8,11.14,930.79,919.87,88.9,B0372316,New,7,Debit Card,Delivered,Delivered,2025-03-05,Standard,"532 Main St, City 80, USA","371 Elm St, City 100, USA",Amazon Logistics - TRK110244,Product-418,Enjoy your gift!,,John Doe,SN757399,SP-8572
Best Buy,ORD800662,2025-01-23,PO75500,AUD,39.57,5.53,10.3,9.64,177.3,197.85,27.65,B0304939,Used - Acceptable,5,PayPal,Cancelled,In Transit,2025-03-16,Standard,"716 Main St, City 90, USA","491 Elm St, City 72, USA",Amazon Logistics - TRK917791,Product-8,Happy Birthday!,Alice,Emma Smith,SN206434,SP-6486
eBay,ORD391496,2024-04-18,PO62000,GBP,407.83,68.13,38.22,108.11,735.7,815.66,136.26,B0481030,New,2,Debit Card,Pending,Delivered,2025-03-07,Standard,"124 Main St, City 66, USA","603 Elm St, City 34, USA",UPS - TRK832939,Product-335,,Alice,Emma Smith,SN491013,SP-2839
eBay,ORD707858,2024-11-16,PO52542,EUR,470.34,65.06,37.0,116.52,418.88,470.34,65.06,B0341289,Refurbished,1,PayPal,Cancelled,Returned,2025-03-20,Standard,"692 Main St, City 94, USA","915 Elm St, City 52, USA",USPS - TRK384596,Product-243,Enjoy your gift!,Charlie,John Doe,SN615675,SP-6715
Walmart,ORD965180,2024-04-26,PO29368,USD,219.5,34.8,39.43,26.22,1368.48,1317.0,208.8,B0668260,Refurbished,6,PayPal,Cancelled,In Transit,2025-03-17,Standard,"333 Main St, City 72, USA","728 Elm St, City 50, USA",FedEx - TRK297481,Product-390,Happy Birthday!,Charlie,Emma Smith,SN205110,SP-6891
Target,ORD592204,2024-05-14,PO38744,AUD,383.18,67.42,32.47,100.08,2453.64,2682.26,471.94,B0327831,Used - Acceptable,7,PayPal,Pending,Pending,2025-03-02,Two-Day,"236 Main St, City 65, USA","635 Elm St, City 4, USA",Amazon Logistics - TRK438812,Product-351,Enjoy your gift!,Bob,Emma Smith,SN218723,SP-9638
Walmart,ORD601295,2024-08-14,PO83210,USD,149.49,27.71,17.97,31.16,1168.32,1195.92,221.68,B0778404,Used - Like New,8,Debit Card,Cancelled,Delivered,2025-03-05,Same-Day,"822 Main St, City 9, USA","888 Elm St, City 76, USA",UPS - TRK178830,Product-316,Happy Birthday!,Alice,John Doe,SN129214,SP-2804
Best Buy,ORD844893,2024-11-15,PO65070,AUD,31.1,4.6,35.97,6.86,28.84,31.1,4.6,B0268143,Used - Like New,1,Gift Card,Shipped,Returned,2025-03-08,Expedited,"664 Main St, City 8, USA","341 Elm St, City 3, USA",UPS - TRK187215,Product-338,Enjoy your gift!,Charlie,,SN753242,SP-2591
Walmart,ORD844350,2024-07-21,PO64813,USD,195.16,14.45,39.11,7.62,403.98,390.32,28.9,B0774641,New,2,Gift Card,Delivered,Delivered,2025-03-21,Same-Day,"621 Main St, City 38, USA","483 Elm St, City 56, USA",USPS - TRK877419,Product-305,Happy Birthday!,Alice,Emma Smith,SN920826,SP-1563
Target,ORD805467,2025-01-19,PO44139,EUR,382.23,75.43,21.29,14.09,1330.71,1146.69,226.29,B0857467,Refurbished,3,PayPal,Pending,In Transit,2025-03-12,Expedited,"329 Main St, City 56, USA","441 Elm St, City 81, USA",FedEx - TRK336204,Product-354,,Charlie,Emma Smith,SN727237,SP-4119
Walmart,ORD582856,2024-06-08,PO31001,EUR,102.48,7.06,25.37,8.32,607.32,614.88,42.36,B0707637,New,6,Credit Card,Cancelled,Pending,2025-03-15,Expedited,"760 Main St, City 83, USA","669 Elm St, City 31, USA",USPS - TRK878018,Product-155,,,John Doe,SN909267,SP-4672
Best Buy,ORD985633,2025-03-08,PO26843,INR,187.32,12.0,8.86,48.98,1052.38,1311.24,84.0,B0526898,Used - Like New,7,PayPal,Pending,Delivered,2025-03-06,Two-Day,"434 Main St, City 70, USA","152 Elm St, City 28, USA",DHL - TRK300105,Product-35,Happy Birthday!,Bob,John Doe,SN463991,SP-6799
Amazon.com,ORD771195,2024-03-25,PO23086,AUD,168.53,18.91,40.45,10.04,1596.6,1516.77,170.19,B0753219,New,9,Debit Card,Delivered,Returned,2025-02-24,Two-Day,"749 Main St, City 70, USA","901 Elm St, City 5, USA",USPS - TRK209883,Product-71,,,Emma Smith,SN671405,SP-5470
Target,ORD433184,2025-01-08,PO64283,AUD,318.06,52.1,43.56,86.33,283.83,318.06,52.1,B0874052,Used - Acceptable,1,PayPal,Pending,Pending,2025-02-23,Same-Day,"777 Main St, City 57, USA","800 Elm St, City 37, USA",USPS - TRK876779,Product-383,Enjoy your gift!,Charlie,Emma Smith,SN492829,SP-9162
eBay,ORD952900,2024-08-16,PO60248,INR,400.57,71.96,11.75,13.5,3213.21,2803.99,503.72,B0756161,Used - Like New,7,Gift Card,Pending,Pending,2025-02-25,Standard,"605 Main St, City 65, USA","872 Elm St, City 78, USA",Amazon Logistics - TRK155084,Product-439,Enjoy your gift!,Charlie,Emma Smith,SN974728,SP-5745
Target,ORD626254,2024-07-21,PO32233,INR,58.74,6.87,7.63,5.14,362.82,352.44,41.22,B0193481,Refurbished,6,Credit Card,Delivered,Delivered,2025-03-02,Same-Day,"239 Main St, City 8, USA","956 Elm St, City 22, USA",UPS - TRK807526,Product-280,,Alice,John Doe,SN864738,SP-9701
Walmart,ORD655084,2025-01-30,PO14180,USD,18.48,1.62,38.19,5.05,60.2,73.92,6.48,B0993244,New,4,Credit Card,Delivered,Delivered,2025-03-08,Expedited,"168 Main St, City 15, USA","552 Elm St, City 29, USA",Amazon Logistics - TRK880123,Product-444,,Bob,John Doe,SN662849,SP-6846
Walmart,ORD709811,2024-10-25,PO43848,AUD,254.05,32.85,36.57,25.12,1832.46,1778.35,229.95,B0268950,New,7,Debit Card,Shipped,In Transit,2025-03-08,Same-Day,"360 Main St, City 35, USA","475 Elm St, City 23, USA",UPS - TRK815706,Product-106,Happy Birthday!,Bob,Emma Smith,SN708592,SP-9109
Walmart,ORD596330,2024-07-12,PO98072,AUD,49.92,7.92,29.68,8.46,148.14,149.76,23.76,B0385599,Refurbished,3,Credit Card,Shipped,Pending,2025-02-23,Same-Day,"896 Main St, City 71, USA","639 Elm St, City 38, USA",DHL - TRK735936,Product-321,Enjoy your gift!,Alice,Emma Smith,SN868165,SP-7204
eBay,ORD295884,2024-09-12,PO68018,AUD,426.19,47.89,22.98,16.65,4574.3,4261.9,478.9,B0568814,Used - Like New,10,Debit Card,Pending,Delivered,2025-03-10,Expedited,"904 Main St, City 90, USA","222 Elm St, City 54, USA",USPS - TRK870382,Product-466,,Bob,,SN889019,SP-4099
Walmart,ORD321010,2025-03-10,PO62589,AUD,457.64,39.27,34.5,22.72,2845.14,2745.84,235.62,B0711174,Used - Like New,6,PayPal,Cancelled,In Transit,2025-02-27,Same-Day,"408 Main St, City 46, USA","444 Elm St, City 74, USA",UPS - TRK192908,Product-353,Happy Birthday!,Charlie,John Doe,SN615666,SP-2668
Target,ORD503452,2024-10-18,PO63115,EUR,356.93,54.12,21.9,34.61,1129.32,1070.79,162.36,B0651035,Used - Like New,3,Credit Card,Delivered,Returned,2025-03-21,Expedited,"116 Main St, City 97, USA","852 Elm St, City 65, USA",UPS - TRK598277,Product-237,Enjoy your gift!,Charlie,,SN935388,SP-9594
Best Buy,ORD531756,2025-03-19,PO50648,INR,24.82,4.28,19.06,1.62,164.88,148.92,25.68,B0723623,Used - Acceptable,6,Gift Card,Delivered,In Transit,2025-02-28,Two-Day,"946 Main St, City 51, USA","576 Elm St, City 36, USA",UPS - TRK254166,Product-313,,Bob,John Doe,SN595634,SP-9450
Target,ORD235902,2025-01-21,PO95817,AUD,260.98,44.81,43.41,43.37,2361.78,2348.82,403.29,B0909224,New,9,Gift Card,Delivered,Pending,2025-03-21,Expedited,"356 Main St, City 17, USA","351 Elm St, City 46, USA",UPS - TRK179303,Product-198,Happy Birthday!,Bob,,SN876034,SP-7395
Target,ORD514484,2025-03-15,PO84303,AUD,250.46,42.11,19.35,19.98,1362.95,1252.3,210.55,B0376179,Refurbished,5,Gift Card,Shipped,Pending,2025-03-08,Same-Day,"197 Main St, City 43, USA","754 Elm St, City 59, USA",Amazon Logistics - TRK292233,Product-353,Happy Birthday!,,John Doe,SN217517,SP-6891
Amazon.com,ORD170074,2024-06-08,PO18707,GBP,269.62,39.23,11.62,30.55,1113.2,1078.48,156.92,B0742176,New,4,PayPal,Cancelled,Pending,2025-03-05,Expedited,"484 Main St, City 21, USA","962 Elm St, City 75, USA",UPS - TRK818125,Product-286,,Alice,Emma Smith,SN731016,SP-3634
Best Buy,ORD217242,2024-04-23,PO69188,INR,277.88,20.22,18.66,44.29,1522.86,1667.28,121.32,B0636510,New,6,Credit Card,Cancelled,Delivered,2025-02-26,Same-Day,"687 Main St, City 69, USA","261 Elm St, City 3, USA",UPS - TRK148166,Product-345,,Charlie,Emma Smith,SN852182,SP-5777
Amazon.com,ORD495527,2025-01-09,PO27838,GBP,33.62,5.7,7.0,1.74,112.74,100.86,17.1,B0448591,New,3,Debit Card,Cancelled,Delivered,2025-03-01,Same-Day,"887 Main St, City 78, USA","654 Elm St, City 89, USA",DHL - TRK971759,Product-388,Enjoy your gift!,,Emma Smith,SN363472,SP-5433
Best Buy,ORD988767,2024-10-25,PO20659,USD,217.21,34.63,36.03,61.86,1519.84,1737.68,277.04,B0186771,Used - Like New,8,Credit Card,Cancelled,Pending,2025-03-15,Expedited,"364 Main St, City 52, USA","990 Elm St, City 73, USA",FedEx - TRK745931,Product-5,,,,SN881919,SP-9752
Target,ORD247893,2024-11-02,PO44897,EUR,434.63,25.92,49.33,61.32,3992.3,4346.3,259.2,B0343915,Used - Like New,10,Gift Card,Pending,Delivered,2025-02-23,Two-Day,"170 Main St, City 71, USA","375 Elm St, City 84, USA",UPS - TRK685239,Product-287,Happy Birthday!,Alice,,SN614433,SP-3402
eBay,ORD773909,2024-12-10,PO22023,AUD,100.98,7.82,21.91,25.37,500.58,605.88,46.92,B0645154,Refurbished,6,Debit Card,Pending,Returned,2025-03-16,Same-Day,"513 Main St, City 34, USA","163 Elm St, City 75, USA",FedEx - TRK337861,Product-19,Happy Birthday!,Alice,John Doe,SN932788,SP-5222
Target,ORD993408,2025-02-06,PO36194,EUR,382.53,57.74,43.37,113.62,2939.85,3442.77,519.66,B0611005,Used - Like New,9,Debit Card,Cancelled,Returned,2025-03-22,Standard,"196 Main St, City 13, USA","228 Elm St, City 39, USA",DHL - TRK297526,Product-462,Happy Birthday!,Charlie,Emma Smith,SN392621,SP-2034
Best Buy,ORD594960,2024-05-18,PO12117,EUR,381.09,45.56,40.73,46.31,2282.04,2286.54,273.36,B0720392,Refurbished,6,Credit Card,Cancelled,Delivered,2025-03-17,Same-Day,"775 Main St, City 8, USA","256 Elm St, City 71, USA",USPS - TRK978189,Product-423,,Bob,,SN778339,SP-6449
Target,ORD455368,2024-07-01,PO56275,AUD,493.83,63.73,12.52,70.25,974.62,987.66,127.46,B0229823,Used - Like New,2,Debit Card,Shipped,Returned,2025-03-22,Same-Day,"162 Main St, City 46, USA","855 Elm St, City 16, USA",FedEx - TRK822741,Product-113,Enjoy your gift!,,,SN742563,SP-7531
Walmart,ORD818767,2024-10-26,PO82562,GBP,233.3,43.92,41.39,60.77,216.45,233.3,43.92,B0908552,Used - Acceptable,1,Debit Card,Delivered,Delivered,2025-03-11,Two-Day,"408 Main St, City 2, USA","768 Elm St, City 4, USA",UPS - TRK256957,Product-29,,,Emma Smith,SN316356,SP-8905
Walmart,ORD935321,2025-02-05,PO73743,EUR,385.72,72.9,9.34,22.11,1746.04,1542.88,291.6,B0951440,Used - Acceptable,4,Gift Card,Shipped,Pending,2025-02-24,Two-Day,"830 Main St, City 12, USA","174 Elm St, City 38, USA",UPS - TRK636063,Product-32,,Charlie,,SN710946,SP-4712
eBay,ORD752337,2024-05-03,PO95955,AUD,131.31,11.99,32.41,25.69,823.27,919.17,83.93,B0322652,Used - Like New,7,Credit Card,Cancelled,Pending,2025-03-12,Same-Day,"429 Main St, City 32, USA","404 Elm St, City 58, USA",USPS - TRK837143,Product-494,Happy Birthday!,,,SN432290,SP-1903
Target,ORD421150,2024-04-27,PO35420,GBP,145.23,23.88,45.22,17.01,1521.0,1452.3,238.8,B0936028,Refurbished,10,PayPal,Pending,Pending,2025-03-13,Standard,"276 Main St, City 39, USA","972 Elm St, City 87, USA",UPS - TRK357486,Product-268,,Alice,John Doe,SN728494,SP-6125
Walmart,ORD309492,2024-03-29,PO40896,USD,389.95,69.28,36.46,104.75,3190.32,3509.55,623.52,B0463049,Refurbished,9,Debit Card,Pending,Delivered,2025-03-07,Standard,"387 Main St, City 17, USA","570 Elm St, City 63, USA",UPS - TRK278251,Product-474,Enjoy your gift!,,Emma Smith,SN755525,SP-1458
Target,ORD902621,2024-06-02,PO78430,AUD,448.19,35.42,25.59,14.75,3282.02,3137.33,247.94,B0705136,New,7,Debit Card,Shipped,In Transit,2025-02-28,Expedited,"118 Main St, City 24, USA","522 Elm St, City 12, USA",FedEx - TRK382787,Product-360,Happy Birthday!,Charlie,John Doe,SN280461,SP-2517
