Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Shipping Address,Billing Address,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details,Item Serial Number
Walmart,7c623e8e,2023-12-04,e9958309-d11,GBP,216.43,48.68,2.14,25.86,328.68,316.6,10.35,854e727f-8,New,1,Gift Card,Delivered,Out for Delivery,2023-12-14,Expedited,"654 Birch Ln, WA","654 Birch Ln, WA",FedEx-6c7b0e22-092,Gaming Mouse,Best Wishes!,Sarah,mark@example.com,b182901b-a802-4
Amazon,b44cc601,2025-02-04,d00dcb8b-c17,USD,295.73,24.06,12.4,4.47,74.4,129.47,37.37,6e5d0ccb-9,New,3,Bank Transfer,Pending,Delivered,2025-02-09,Two-Day,"789 Pine Ave, TX","789 Pine Ave, TX",Amazon Logistics-3c08d907-936,Wireless Headphones,Best Wishes!,John,jane@example.com,828fbf32-a5de-4
Amazon,a453ddee,2023-02-14,b445459a-67f,USD,265.77,34.6,9.3,7.23,485.87,246.13,14.73,01a42668-9,New,2,PayPal,Shipped,In Transit,,Same-Day,"654 Birch Ln, WA","789 Pine Ave, TX",USPS-b338ddb2-358,Smartphone Case,Congratulations!,Sarah,,650b2361-a3dd-4
Target,ca2d8bb9,2024-08-26,57d057c9-20d,USD,311.35,5.91,0.04,2.68,307.88,174.56,18.72,47915e70-5,Refurbished,5,Bank Transfer,Cancelled,Delivered,2024-09-02,Expedited,"654 Birch Ln, WA","321 Maple Rd, FL",FedEx-8be85891-8cb,Gaming Mouse,,Sarah,mark@example.com,afa1f20c-856a-4
Walmart,4294a4b1,2023-07-07,3321ba6c-5a6,GBP,282.54,20.39,1.58,29.27,87.92,461.47,18.56,33025c47-5,Refurbished,2,Bank Transfer,Delivered,Out for Delivery,2023-07-08,Two-Day,"456 Oak St, CA","321 Maple Rd, FL",FedEx-1821983d-de4,Gaming Mouse,Congratulations!,Emma,anna@example.com,f2b18008-57d5-4
BestBuy,d55286fb,2024-09-20,7a5ac7e1-39a,AUD,25.6,28.32,3.49,10.18,554.34,153.98,21.41,0d338ffc-0,New,1,Bank Transfer,Cancelled,Pending,2024-09-24,Two-Day,"123 Main St, NY","789 Pine Ave, TX",Amazon Logistics-dbad68c0-c0b,Wireless Headphones,Happy Birthday!,,,19b22bbf-e7d9-4
Amazon,1d0b2739,2024-08-19,396490e6-4f4,AUD,342.91,39.01,16.82,15.64,597.69,23.2,6.79,4993dab9-8,Used - Good,5,Credit Card,Cancelled,Out for Delivery,2024-08-27,Same-Day,"456 Oak St, CA","789 Pine Ave, TX",FedEx-8245b088-642,Smartphone Case,Best Wishes!,John,anna@example.com,e5cc8b6b-9433-4
Walmart,962d419f,2023-12-07,56915997-503,GBP,392.57,3.44,2.78,28.48,296.11,391.76,43.15,96455a63-4,Refurbished,2,PayPal,Cancelled,Out for Delivery,2023-12-17,Same-Day,"789 Pine Ave, TX","654 Birch Ln, WA",USPS-832ffd26-2be,Gaming Mouse,Enjoy your gift!,David,jane@example.com,e098772b-88af-4
Target,92e024c3,2025-03-04,7cef0787-3f1,USD,276.44,45.84,4.69,18.14,332.99,297.07,38.33,6830d446-c,Used - Good,3,Gift Card,Returned,In Transit,2025-03-11,Same-Day,"456 Oak St, CA","789 Pine Ave, TX",USPS-dbd87145-035,Mechanical Keyboard,Best Wishes!,,,4ca7a6e2-cfdb-4
Amazon,44b332f3,2024-12-24,5f673fbd-99b,CAD,478.17,42.43,7.29,17.45,155.82,196.44,31.56,cd3a043d-7,New,5,PayPal,Pending,In Transit,,Same-Day,"456 Oak St, CA","321 Maple Rd, FL",USPS-d12caca4-e65,Mechanical Keyboard,Enjoy your gift!,,,76f4fc1c-910a-4
Target,4574c72b,2024-10-24,c154f7bc-94a,EUR,487.08,14.19,19.95,18.39,526.03,385.11,15.58,eec72aa6-f,Used - Like New,5,PayPal,Cancelled,Delivered,2024-10-31,Same-Day,"321 Maple Rd, FL","456 Oak St, CA",USPS-59294025-2cf,Gaming Mouse,Happy Birthday!,Emma,mark@example.com,1b279c2d-7c04-4
Target,691eb24c,2023-07-24,8afae84b-b27,GBP,64.27,47.88,15.02,28.46,390.7,229.5,29.18,1237c5a8-7,New,4,Bank Transfer,Shipped,Out for Delivery,2023-07-27,Two-Day,"456 Oak St, CA","654 Birch Ln, WA",UPS-33ec498e-636,Gaming Mouse,Congratulations!,Michael,,521a8dbf-1c8e-4
Target,fee8736e,2024-12-08,92981ced-e77,GBP,325.61,43.95,3.55,16.41,52.41,22.8,22.38,01f521dc-7,New,5,Bank Transfer,Returned,Out for Delivery,2024-12-13,Same-Day,"123 Main St, NY","123 Main St, NY",USPS-62f735a5-e31,Wireless Headphones,Happy Birthday!,Sarah,,899f4902-44ba-4
Amazon,003c5ee4,2023-06-03,2198acae-1be,GBP,203.21,26.28,8.23,24.29,506.36,246.52,24.03,cc9c40ab-1,Refurbished,5,PayPal,Shipped,Out for Delivery,,Expedited,"456 Oak St, CA","654 Birch Ln, WA",UPS-df380996-470,Mechanical Keyboard,Best Wishes!,,mark@example.com,21e29954-c139-4
eBay,e3b1f60f,2022-09-01,d7753185-69b,EUR,338.92,17.57,4.56,4.6,150.03,408.83,20.31,e8c7a4cb-2,Refurbished,2,Bank Transfer,Delivered,Out for Delivery,2022-09-05,Two-Day,"123 Main St, NY","123 Main St, NY",Amazon Logistics-a35e72c9-c93,Wireless Headphones,Enjoy your gift!,John,,8297db56-9321-4
Amazon,5a406ff4,2023-11-01,adb0172b-da5,EUR,53.27,33.91,10.03,14.57,38.86,338.51,34.38,9fcbc532-6,Used - Like New,5,Bank Transfer,Cancelled,In Transit,2023-11-09,Standard,"789 Pine Ave, TX","789 Pine Ave, TX",Amazon Logistics-f3b928dc-106,USB-C Charger,Congratulations!,Michael,jane@example.com,bbce06c3-2fa2-4
BestBuy,93359eaa,2022-05-18,e9ce6c5d-c78,CAD,92.52,8.98,18.23,1.84,525.05,153.99,27.88,d2c099b6-6,New,5,Credit Card,Returned,In Transit,2022-05-27,Same-Day,"123 Main St, NY","456 Oak St, CA",UPS-15901ae3-21c,Mechanical Keyboard,Happy Birthday!,,jane@example.com,af568010-e242-4
Walmart,513f8571,2024-04-26,91d39593-95e,AUD,428.7,8.14,7.63,17.76,564.23,217.11,46.68,042bdbbc-c,Used - Like New,2,Bank Transfer,Pending,In Transit,2024-05-05,Standard,"789 Pine Ave, TX","654 Birch Ln, WA",UPS-a1864d09-082,Wireless Headphones,Enjoy your gift!,,,48e46aad-d292-4
BestBuy,99af2ca9,2024-01-01,39788170-4c1,USD,120.35,29.21,9.81,20.78,570.02,364.94,30.21,475d6995-3,Refurbished,3,Credit Card,Cancelled,In Transit,2024-01-09,Two-Day,"456 Oak St, CA","456 Oak St, CA",Amazon Logistics-bf309693-393,USB-C Charger,Best Wishes!,Emma,anna@example.com,f0afa25c-e129-4
eBay,9e076569,2024-08-01,36a8911f-3be,GBP,349.76,12.6,3.24,27.17,527.78,423.21,42.99,d10472fd-e,Used - Like New,4,Credit Card,Delivered,Pending,2024-08-07,Standard,"321 Maple Rd, FL","654 Birch Ln, WA",Amazon Logistics-e7a43277-07f,Wireless Headphones,Congratulations!,Emma,,0004d219-549f-4
BestBuy,fd15fcc1,2022-05-29,bf9bc6a1-1ea,USD,21.45,3.3,14.98,18.81,302.64,145.09,34.47,50f21ad1-9,Refurbished,1,Bank Transfer,Returned,Delivered,2022-06-03,Expedited,"789 Pine Ave, TX","654 Birch Ln, WA",FedEx-136bdec7-ac5,Wireless Headphones,Congratulations!,John,jane@example.com,97011a6e-0121-4
Amazon,236ac5a1,2024-08-04,b3a903ec-5b6,AUD,407.27,27.12,7.22,21.84,513.84,101.26,42.73,ebddee52-3,Used - Good,4,Gift Card,Pending,Out for Delivery,2024-08-09,Two-Day,"123 Main St, NY","654 Birch Ln, WA",FedEx-cbc2d82b-ee9,Gaming Mouse,Enjoy your gift!,Emma,jane@example.com,14f58040-d1cb-4
BestBuy,4cdfeb38,2024-03-14,b83a8ce1-3a8,AUD,405.71,18.34,19.4,9.0,251.21,271.2,38.64,f2cd3f1d-c,Used - Like New,3,Bank Transfer,Returned,In Transit,2024-03-16,Expedited,"321 Maple Rd, FL","654 Birch Ln, WA",Amazon Logistics-fa1fffd9-aaa,USB-C Charger,Congratulations!,Michael,,9a895bba-ad92-4
Target,ef058b42,2022-07-14,bd7e2c9f-0cd,CAD,43.21,44.29,5.05,14.06,213.48,44.78,18.01,11e0e472-3,Used - Like New,2,Gift Card,Returned,Delivered,2022-07-16,Same-Day,"789 Pine Ave, TX","654 Birch Ln, WA",FedEx-0e0f2299-36d,USB-C Charger,Enjoy your gift!,Sarah,mark@example.com,0b8d45c9-d861-4
Walmart,b7873e51,2023-09-30,200c200b-488,CAD,396.08,15.31,19.13,28.0,454.87,402.89,37.45,2a2f95b2-f,Refurbished,5,Bank Transfer,Shipped,In Transit,2023-10-03,Expedited,"456 Oak St, CA","123 Main St, NY",FedEx-6c7d0655-77e,Gaming Mouse,Happy Birthday!,Emma,jane@example.com,b4cefaca-1414-4
eBay,a0def7c3,2023-08-11,da94ad04-fcf,CAD,347.06,19.98,2.94,21.68,50.7,21.76,9.79,10277621-8,Used - Good,5,Gift Card,Delivered,Pending,2023-08-15,Expedited,"321 Maple Rd, FL","123 Main St, NY",FedEx-0e07b4f1-2d5,Gaming Mouse,,Emma,,31a35247-a98a-4
Amazon,9a10f19d,2022-09-24,f99bfb85-c11,AUD,429.04,41.06,16.15,29.03,241.18,237.33,41.96,0b77aedb-1,New,4,PayPal,Pending,In Transit,2022-10-04,Same-Day,"123 Main St, NY","321 Maple Rd, FL",Amazon Logistics-04df3fb0-603,USB-C Charger,Best Wishes!,John,anna@example.com,bef2569a-b87d-4
Target,ab848840,2024-05-21,a3f44fef-4b3,EUR,390.43,6.55,7.7,9.34,106.16,15.17,43.08,256ffa42-b,Used - Like New,4,Credit Card,Pending,Delivered,,Same-Day,"321 Maple Rd, FL","456 Oak St, CA",DHL-ae1e2507-73d,Smartphone Case,Enjoy your gift!,Sarah,jane@example.com,f003dbf5-bbd0-4
eBay,f5d7fc07,2024-02-14,e91076fa-b19,AUD,346.3,1.95,17.99,12.8,258.71,309.94,44.28,fa35b098-5,Used - Good,4,Credit Card,Cancelled,Delivered,2024-02-22,Two-Day,"123 Main St, NY","789 Pine Ave, TX",Amazon Logistics-0ad1a3f1-450,Wireless Headphones,Enjoy your gift!,Michael,jane@example.com,50d0228b-05e4-4
BestBuy,d9dd77bf,2022-11-29,f6109e4b-893,GBP,319.0,26.02,19.97,9.08,132.89,59.64,8.71,561e8792-0,New,5,PayPal,Shipped,Pending,2022-12-06,Expedited,"654 Birch Ln, WA","654 Birch Ln, WA",USPS-e9fa0c6a-4c9,Gaming Mouse,Congratulations!,Michael,mark@example.com,3523a9b4-dd35-4
eBay,e65db291,2024-11-30,a74ed4fa-749,USD,192.74,31.63,10.98,24.51,141.8,101.76,45.64,f77d1951-d,New,5,Gift Card,Cancelled,Out for Delivery,2024-12-06,Two-Day,"123 Main St, NY","456 Oak St, CA",USPS-c41a2234-e39,Wireless Headphones,Congratulations!,,anna@example.com,63beccc5-344d-4
Walmart,bb0bd2e5,2024-03-04,0449c354-cb0,AUD,359.49,7.63,5.95,21.63,287.77,345.29,10.99,426f996a-7,New,5,PayPal,Shipped,Out for Delivery,2024-03-07,Standard,"654 Birch Ln, WA","123 Main St, NY",FedEx-7ea2523d-96a,Mechanical Keyboard,Enjoy your gift!,Sarah,,cd642ee4-7601-4
eBay,23a495e2,2023-04-24,f5379306-742,EUR,436.08,31.02,15.04,4.55,123.47,45.98,18.18,5e4b2304-3,Used - Like New,3,Gift Card,Returned,Delivered,,Expedited,"654 Birch Ln, WA","456 Oak St, CA",USPS-5dac2ea4-267,USB-C Charger,Enjoy your gift!,Michael,,074b9268-5381-4
Target,e19235fc,2023-02-07,59c69702-f14,GBP,398.25,27.35,17.93,16.44,138.85,205.94,11.97,4c9bcb4b-8,Used - Good,2,Credit Card,Shipped,In Transit,2023-02-10,Standard,"789 Pine Ave, TX","789 Pine Ave, TX",DHL-65c80772-bcc,USB-C Charger,Enjoy your gift!,Emma,jane@example.com,6a898361-c0b3-4
eBay,8a37c8b3,2024-06-27,df1e1d50-48b,GBP,107.65,16.5,6.63,9.03,409.57,17.38,30.74,417b6593-a,Used - Like New,3,PayPal,Delivered,Pending,2024-06-29,Standard,"456 Oak St, CA","654 Birch Ln, WA",DHL-a59ac76e-958,Gaming Mouse,Happy Birthday!,David,mark@example.com,a8328dfd-7689-4
Walmart,6a759c00,2024-03-10,cd9100b8-1b9,USD,172.76,21.69,7.47,8.71,270.91,193.57,13.4,f879c708-d,Used - Like New,2,PayPal,Shipped,In Transit,2024-03-19,Two-Day,"123 Main St, NY","654 Birch Ln, WA",Amazon Logistics-4353bc2d-412,Mechanical Keyboard,Congratulations!,John,,0293498c-6ca6-4
Walmart,798060e5,2022-04-02,5ca24c41-469,EUR,345.9,49.56,17.08,29.51,205.58,228.08,34.63,9e6dcfb2-d,Used - Like New,1,PayPal,Delivered,Pending,2022-04-11,Expedited,"456 Oak St, CA","321 Maple Rd, FL",DHL-39d3746f-925,Wireless Headphones,Happy Birthday!,Michael,jane@example.com,4bb75318-8697-4
Walmart,f7f6f093,2023-05-17,d7adf51a-9d8,GBP,283.75,37.38,7.36,11.53,406.16,492.77,36.98,e1438330-4,New,1,Bank Transfer,Pending,In Transit,,Expedited,"789 Pine Ave, TX","321 Maple Rd, FL",UPS-9c541791-1a9,Wireless Headphones,Enjoy your gift!,Emma,mark@example.com,3ef902aa-ef05-4
Walmart,0e197789,2023-08-13,5fb79244-7f4,GBP,159.81,2.1,17.77,2.43,287.66,240.78,48.95,5a32a981-f,Refurbished,2,Bank Transfer,Shipped,In Transit,2023-08-18,Standard,"321 Maple Rd, FL","321 Maple Rd, FL",UPS-50bd24d5-07e,Mechanical Keyboard,Enjoy your gift!,,anna@example.com,b2ed6861-d6c4-4
eBay,ad1643ee,2022-05-13,089e2700-0dd,USD,230.47,39.36,3.85,2.21,266.71,90.85,37.78,2926f0a5-5,Used - Good,3,PayPal,Pending,Delivered,2022-05-14,Two-Day,"123 Main St, NY","654 Birch Ln, WA",FedEx-104b09f3-1ef,Wireless Headphones,Best Wishes!,,,4e2c41ea-69fb-4
eBay,3a0fd5c6,2023-09-08,fedc41c2-4d8,GBP,57.91,19.94,18.45,20.56,192.77,438.35,13.25,a0a43e37-4,Used - Like New,4,PayPal,Delivered,Out for Delivery,,Standard,"123 Main St, NY","789 Pine Ave, TX",DHL-e723e823-fe5,Wireless Headphones,Congratulations!,John,,c198ce4a-ff4d-4
BestBuy,96ccea6b,2022-05-22,ad835275-312,GBP,386.2,27.59,8.61,6.33,504.73,60.46,4.51,12715e6d-e,Refurbished,3,Gift Card,Returned,In Transit,2022-05-25,Expedited,"456 Oak St, CA","456 Oak St, CA",DHL-0c905a84-d75,Gaming Mouse,,John,jane@example.com,aebdb680-f5d9-4
Target,33fa51bc,2022-06-03,4c59bb31-787,AUD,408.04,24.21,15.81,29.73,277.21,304.27,4.1,9a08fffd-8,Used - Good,5,PayPal,Cancelled,Pending,2022-06-08,Two-Day,"456 Oak St, CA","456 Oak St, CA",DHL-7cb47266-02d,Gaming Mouse,Enjoy your gift!,Sarah,jane@example.com,fb20c97e-0f10-4
Amazon,2f80a52b,2024-12-22,9f7dd5be-aa2,EUR,206.72,8.61,9.26,26.95,185.44,198.89,26.15,ab9e0e24-9,Used - Good,5,Bank Transfer,Delivered,Pending,2024-12-27,Standard,"456 Oak St, CA","123 Main St, NY",Amazon Logistics-f7d4d124-797,USB-C Charger,Congratulations!,Emma,,d4da0b2c-3655-4
Walmart,99b042b8,2022-11-27,ddd926b9-b77,USD,356.59,40.76,9.89,9.73,30.73,160.89,40.93,7d262641-4,Used - Like New,3,Bank Transfer,Shipped,Delivered,,Expedited,"456 Oak St, CA","123 Main St, NY",DHL-ec32049d-ed3,Gaming Mouse,,Sarah,mark@example.com,d66a74d0-7c6d-4
Walmart,2d4a7c57,2025-01-22,b5ce2445-d6a,USD,108.13,37.03,18.3,23.64,47.15,36.73,28.76,aa4446e7-f,Refurbished,5,PayPal,Delivered,Delivered,2025-01-29,Standard,"456 Oak St, CA","789 Pine Ave, TX",USPS-e7bce086-c85,USB-C Charger,,Sarah,jane@example.com,a4c218b3-58e2-4
Walmart,755fbec7,2024-07-28,9725d28a-ebf,EUR,359.7,42.22,10.79,6.07,74.29,248.38,12.49,7eb02961-a,Refurbished,5,Credit Card,Pending,In Transit,2024-07-29,Expedited,"654 Birch Ln, WA","654 Birch Ln, WA",Amazon Logistics-86704fbe-ce9,Smartphone Case,,Sarah,jane@example.com,d82efd4f-0fce-4
BestBuy,f26a2cd4,2023-01-30,3d7534c7-0b0,EUR,334.56,5.05,10.14,27.3,53.86,357.49,6.56,27ea6e06-7,Refurbished,2,Bank Transfer,Returned,Out for Delivery,,Standard,"123 Main St, NY","456 Oak St, CA",Amazon Logistics-3e19ac1a-e29,USB-C Charger,Enjoy your gift!,David,mark@example.com,d28abeec-10ba-4
BestBuy,fbb9da69,2023-01-11,db86cd8a-743,CAD,280.61,30.71,0.73,23.66,566.63,488.55,35.64,350db94d-0,Used - Like New,4,Bank Transfer,Cancelled,Delivered,2023-01-21,Standard,"321 Maple Rd, FL","321 Maple Rd, FL",USPS-66ce6090-fac,Mechanical Keyboard,Congratulations!,David,jane@example.com,1055e64a-ddce-4
Walmart,774d38dc,2024-08-08,dc812bbd-073,EUR,369.29,13.64,9.03,13.16,162.48,492.8,40.23,bc1849fc-e,New,5,Gift Card,Returned,Out for Delivery,2024-08-15,Expedited,"123 Main St, NY","321 Maple Rd, FL",UPS-9e78c6fd-b55,Mechanical Keyboard,Congratulations!,,anna@example.com,8c4e0426-4784-4
BestBuy,fce2087e,2024-11-24,ff69ff3f-9cb,GBP,225.04,1.33,13.19,20.74,47.76,218.74,40.57,7cf8d010-8,New,4,Gift Card,Pending,Pending,2024-11-25,Expedited,"654 Birch Ln, WA","321 Maple Rd, FL",UPS-9bc0533d-758,Gaming Mouse,Congratulations!,John,jane@example.com,d0ec0f4a-e0a4-4
eBay,f8bfcb7a,2022-05-08,07a4449b-8a6,EUR,85.65,49.53,1.05,13.9,82.75,438.87,36.81,d5641db8-5,Used - Good,1,Bank Transfer,Shipped,In Transit,2022-05-13,Expedited,"456 Oak St, CA","456 Oak St, CA",DHL-af881a4e-ab6,USB-C Charger,Enjoy your gift!,,anna@example.com,5942e55a-bd96-4
BestBuy,2928740d,2025-01-18,d8de680f-584,GBP,249.77,22.73,3.72,7.39,72.66,289.34,8.62,b7635e76-f,Used - Good,3,Credit Card,Pending,In Transit,,Standard,"789 Pine Ave, TX","654 Birch Ln, WA",Amazon Logistics-f7b86b0b-6ea,Smartphone Case,Congratulations!,Michael,,fac858bc-7297-4
Walmart,6e39fdbe,2024-06-04,7bc0f73c-639,GBP,20.97,15.83,5.99,26.0,202.96,132.74,26.5,4f323cda-3,New,2,Credit Card,Returned,In Transit,2024-06-10,Expedited,"789 Pine Ave, TX","654 Birch Ln, WA",DHL-06435d28-d6e,Wireless Headphones,Congratulations!,Sarah,anna@example.com,eb1ba83b-6e7e-4
eBay,6dff1677,2023-11-05,a3756016-d6d,GBP,470.32,44.84,1.93,18.31,501.75,460.43,3.47,c4bc09e6-3,New,5,PayPal,Returned,In Transit,,Standard,"123 Main St, NY","123 Main St, NY",FedEx-3d277acf-5e4,Gaming Mouse,,Sarah,jane@example.com,0a2c96e5-5a40-4
BestBuy,3d3c96c0,2023-06-10,e2365a07-318,EUR,237.46,11.24,2.98,12.43,464.26,171.17,7.26,b47bedc1-6,New,1,Credit Card,Returned,Out for Delivery,2023-06-19,Expedited,"456 Oak St, CA","456 Oak St, CA",USPS-f49d26e9-8b7,Mechanical Keyboard,Happy Birthday!,John,,9e8ec78b-77da-4
eBay,1d0f5b84,2022-11-22,49996573-ed4,EUR,82.31,25.45,17.75,14.53,298.16,331.98,9.78,4855fbac-e,New,2,Gift Card,Delivered,In Transit,2022-11-24,Expedited,"123 Main St, NY","789 Pine Ave, TX",UPS-966d9585-755,Wireless Headphones,Best Wishes!,,mark@example.com,07cd9bf2-0958-4
Amazon,239617f5,2023-02-16,1a399c70-931,CAD,244.54,27.93,6.3,6.44,155.13,325.22,48.4,1e0f5967-a,New,1,PayPal,Cancelled,Pending,2023-02-26,Expedited,"321 Maple Rd, FL","321 Maple Rd, FL",FedEx-b41d5c0d-069,Smartphone Case,Happy Birthday!,,,4c951dd5-d42d-4
Amazon,15e08f46,2023-10-10,513ec3a7-783,AUD,477.27,16.22,9.62,28.07,488.06,424.11,44.66,6eb9e60d-9,Refurbished,2,Credit Card,Cancelled,Out for Delivery,,Same-Day,"321 Maple Rd, FL","321 Maple Rd, FL",USPS-d55d498b-6b0,Gaming Mouse,,David,anna@example.com,b473de97-8be6-4
eBay,0939674f,2022-10-04,4b839137-9cb,AUD,172.04,38.33,7.87,3.73,423.92,388.41,21.97,c54cab70-a,Refurbished,2,PayPal,Cancelled,In Transit,,Same-Day,"123 Main St, NY","654 Birch Ln, WA",DHL-cb889419-4a0,Gaming Mouse,Enjoy your gift!,David,,9b5a5d6d-ff8f-4
Walmart,089a0ba1,2024-03-17,252fd496-ec4,USD,435.97,39.61,17.06,2.23,319.24,269.46,11.79,fbbd9f77-4,Used - Like New,4,Gift Card,Returned,Out for Delivery,2024-03-20,Expedited,"654 Birch Ln, WA","654 Birch Ln, WA",Amazon Logistics-81cca13a-ac9,USB-C Charger,Best Wishes!,Emma,,8c79b038-c830-4
Amazon,d0046ae1,2023-10-06,ce5da61b-7f6,GBP,333.76,25.88,6.44,14.12,14.42,240.47,14.84,698e6633-4,Used - Good,3,Credit Card,Delivered,Out for Delivery,2023-10-16,Expedited,"123 Main St, NY","654 Birch Ln, WA",Amazon Logistics-19e77c17-b53,USB-C Charger,Congratulations!,,,9c09736e-1654-4
eBay,aebd000f,2024-01-12,c5675287-b0d,GBP,321.28,42.59,0.64,15.93,169.06,257.53,20.23,12f6ba54-3,Used - Like New,2,PayPal,Pending,Out for Delivery,2024-01-22,Standard,"123 Main St, NY","321 Maple Rd, FL",DHL-0e4f48d2-285,Wireless Headphones,Enjoy your gift!,,,e8755367-4a06-4
Target,1117ffba,2024-07-23,8365e432-4ec,EUR,16.42,26.37,11.77,8.39,361.29,110.38,32.49,84b5bb76-4,Used - Like New,3,Bank Transfer,Pending,Out for Delivery,2024-07-25,Expedited,"789 Pine Ave, TX","789 Pine Ave, TX",DHL-ac1c0d4d-8d9,Wireless Headphones,Enjoy your gift!,,anna@example.com,59b87eb5-8b2a-4
Walmart,d3535468,2023-10-14,0f7502d0-046,CAD,142.82,29.55,11.15,19.33,331.88,183.79,19.36,26718058-0,New,3,Credit Card,Pending,Pending,2023-10-17,Two-Day,"123 Main St, NY","123 Main St, NY",UPS-f6c75397-256,Wireless Headphones,Enjoy your gift!,,mark@example.com,8ce944a8-0901-4
Amazon,2e54c171,2023-04-12,f7a21e25-37c,AUD,204.07,22.31,17.06,3.13,53.83,356.68,15.18,37bb0c57-e,Refurbished,5,Gift Card,Pending,Delivered,2023-04-16,Same-Day,"123 Main St, NY","321 Maple Rd, FL",DHL-07cf6598-c7d,Wireless Headphones,Best Wishes!,Sarah,mark@example.com,b3ed8289-9109-4
Amazon,8a87ad90,2023-08-17,d669e359-054,EUR,288.13,43.74,8.01,15.42,36.59,299.57,39.91,86c193db-7,Refurbished,2,Credit Card,Pending,Pending,2023-08-19,Expedited,"321 Maple Rd, FL","789 Pine Ave, TX",USPS-cadf5e66-245,Mechanical Keyboard,Happy Birthday!,John,mark@example.com,0f4383e9-e091-4
BestBuy,69d179a4,2022-05-27,374f8744-c33,GBP,135.22,23.5,16.33,1.09,398.49,365.3,30.15,c7bc104a-4,Used - Good,1,PayPal,Shipped,Out for Delivery,,Expedited,"123 Main St, NY","789 Pine Ave, TX",FedEx-faf02475-08a,USB-C Charger,Happy Birthday!,Sarah,,ef3f6538-1a7e-4
Amazon,dda7629b,2025-01-29,ad55f3a6-df6,USD,200.22,3.15,14.38,4.3,185.32,269.6,21.24,9c5cfbc3-3,Refurbished,2,PayPal,Cancelled,Pending,,Same-Day,"789 Pine Ave, TX","321 Maple Rd, FL",DHL-2854f0fc-848,Gaming Mouse,Best Wishes!,,mark@example.com,734503a5-6db1-4
eBay,c9e7859e,2024-11-09,102b7101-f8d,GBP,464.42,15.15,19.96,7.27,184.38,458.95,31.65,3eaccb26-d,Used - Good,4,Bank Transfer,Cancelled,Delivered,2024-11-18,Same-Day,"123 Main St, NY","456 Oak St, CA",FedEx-ccef353d-22b,USB-C Charger,Happy Birthday!,,mark@example.com,6b75cad1-7506-4
Walmart,3c75b05b,2022-12-02,427a8d1a-b86,USD,400.26,19.96,15.66,14.1,165.21,111.54,6.61,f41be960-5,Refurbished,5,Gift Card,Delivered,Pending,2022-12-08,Two-Day,"321 Maple Rd, FL","321 Maple Rd, FL",DHL-3db8e2bb-d7d,USB-C Charger,Best Wishes!,,jane@example.com,3bc79bf6-c69f-4
eBay,eded84b1,2022-11-28,b262d58f-cc8,AUD,35.48,28.25,18.11,7.52,435.99,79.58,38.54,8e8b10ef-1,New,3,Bank Transfer,Cancelled,Pending,,Two-Day,"456 Oak St, CA","654 Birch Ln, WA",FedEx-00cd6dcb-e60,Wireless Headphones,Enjoy your gift!,,,6a8edd0b-8c4c-4
Target,0eaebfab,2023-01-11,f639aebe-b08,GBP,241.72,41.93,17.01,18.39,290.09,310.02,33.03,3486e6b2-c,Used - Good,5,Gift Card,Returned,Delivered,,Two-Day,"789 Pine Ave, TX","456 Oak St, CA",DHL-331a0db3-0be,USB-C Charger,Enjoy your gift!,David,jane@example.com,93b0083e-ac86-4
Amazon,4fa7e335,2023-02-20,0f50cb91-fad,GBP,9.69,23.77,7.75,10.64,326.06,249.05,29.62,d439d263-5,New,2,PayPal,Shipped,Delivered,2023-03-02,Same-Day,"789 Pine Ave, TX","456 Oak St, CA",DHL-a80f8394-19c,Wireless Headphones,Congratulations!,David,anna@example.com,bbaf575c-999f-4
Walmart,a318eeae,2022-11-10,c9ad93c2-826,CAD,96.15,6.49,6.2,2.43,255.77,247.17,12.25,09d727bd-e,Refurbished,2,PayPal,Cancelled,Out for Delivery,2022-11-15,Expedited,"321 Maple Rd, FL","654 Birch Ln, WA",DHL-b786d3f4-0e8,USB-C Charger,Happy Birthday!,John,mark@example.com,be356fe1-1767-4
BestBuy,828506aa,2024-01-05,77028028-d04,USD,155.59,19.59,6.32,24.09,159.85,318.36,36.46,efccdb33-7,New,1,PayPal,Pending,Delivered,2024-01-15,Two-Day,"456 Oak St, CA","789 Pine Ave, TX",USPS-ad07208f-d31,Mechanical Keyboard,,Emma,,1e616454-bf68-4
eBay,142009ab,2024-01-29,76b63530-4f6,AUD,441.47,32.65,12.66,9.0,343.36,376.36,15.09,b96bba03-3,New,3,PayPal,Pending,Delivered,,Expedited,"123 Main St, NY","123 Main St, NY",UPS-2956b7b4-24d,Smartphone Case,Congratulations!,Michael,jane@example.com,f3e1abf5-d5e9-4
BestBuy,913813db,2024-07-30,8378429b-ee4,CAD,490.21,28.89,3.7,21.15,360.43,331.14,15.95,0b875095-e,New,5,Gift Card,Returned,Pending,2024-08-06,Standard,"123 Main St, NY","456 Oak St, CA",Amazon Logistics-279efc1d-ede,Mechanical Keyboard,,,jane@example.com,9581add3-2b77-4
